Function,Count
GetProcAddress,267
TerminateProcess,266
SetUnhandledExceptionFilter,266
MultiByteToWideChar,266
WriteFile,266
GetStringTypeW,266
QueryPerformanceCounter,266
GetCurrentThreadId,266
GetSystemTimeAsFileTime,266
GetStdHandle,266
IsDebuggerPresent,266
UnhandledExceptionFilter,266
GetModuleHandleW,266
ExitProcess,266
GetCurrentProcess,266
RtlUnwind,266
SetLastError,266
TlsFree,266
EnterCriticalSection,266
LeaveCriticalSection,266
DeleteCriticalSection,266
InitializeCriticalSectionAndSpinCount,266
TlsAlloc,266
TlsSetValue,266
WideCharToMultiByte,266
GetACP,266
HeapFree,266
GetLastError,266
LCMapStringW,266
FreeEnvironmentStringsW,266
GetEnvironmentStringsW,266
GetOEMCP,266
GetCurrentProcessId,266
IsValidCodePage,266
TlsGetValue,266
GetCPInfo,266
HeapReAlloc,266
HeapSize,266
GetFileType,266
HeapAlloc,266
CloseHandle,265
GetConsoleMode,264
GetConsoleCP,264
FlushFileBuffers,264
WriteConsoleW,264
SetStdHandle,264
GetStartupInfoW,263
DecodePointer,263
IsProcessorFeaturePresent,263
GetCommandLineW,262
GetModuleFileNameW,262
EncodePointer,262
RaiseException,262
CreateFileW,261
VirtualProtect,261
GetModuleHandleA,260
AddAtomW,260
SetProcessAffinityMask,259
GetProcessWorkingSetSize,258
GetCommandLineA,257
GlobalAlloc,256
SetFilePointerEx,256
GetSecurityDescriptorControl,256
GetModuleHandleExW,256
GetProcessHeap,256
LoadLibraryExW,256
FreeLibrary,255
LookupPrivilegeNameA,255
GetProcessShutdownParameters,254
InitializeSListHead,253
ShellExecuteW,253
GetHandleInformation,253
FindClose,253
GetSecurityDescriptorLength,252
GetMailslotInfo,252
FindNextFileW,252
FindFirstFileExW,252
EscapeCommFunction,252
GetCommTimeouts,252
GetCaretPos,208
GetScrollRange,192
GetTickCount,188
SetProcessWorkingSetSize,181
LoadImageA,178
DuplicateHandle,177
BeginPaint,172
EnableScrollBar,140
LoadLibraryW,139
OpenEventLogW,136
lstrcpyA,132
GetSecurityDescriptorDacl,131
SetComputerNameExA,131
GetProcessId,131
FillPath,130
GradientFill,129
TransparentBlt,128
WinHttpConnect,127
OpenEventLogA,127
GetDC,127
SetScrollRange,126
LoadLibraryA,124
SetSecurityDescriptorDacl,122
SetComputerNameExW,122
lstrcpyW,120
GetProcessAffinityMask,76
LoadImageW,76
ExitThread,72
ShowScrollBar,69
Sleep,13
lstrlenA,12
HeapCreate,10
SetHandleCount,10
InterlockedDecrement,10
InterlockedIncrement,10
LocalAlloc,9
GetFileSizeEx,9
GetFileInformationByHandle,9
SetFilePointer,8
SetProcessShutdownParameters,7
HeapSetInformation,7
AddAtomA,7
GetUserNameW,6
InitiateSystemShutdownA,6
GetProcessTimes,6
GetProcessHandleCount,6
TerminateThread,6
GetWindowsDirectoryW,6
GetCommProperties,6
WinHttpOpen,5
FatalExit,5
GetTempPathA,5
GetAtomNameA,5
GlobalMemoryStatus,5
GetLocaleInfoA,5
WinHttpReadData,5
GetModuleFileNameA,5
WinHttpCreateUrl,5
WinHttpQueryDataAvailable,4
WinHttpCloseHandle,4
OpenProcess,4
GetLongPathNameA,4
GetPropA,4
StretchBlt,4
GetTempPathW,4
LookupPrivilegeNameW,4
GetAtomNameW,4
DdeAccessData,3
EnumSystemLocalesA,3
SetWindowPlacement,3
InitiateSystemShutdownW,3
WinHttpWriteData,3
OemToCharA,3
GetMonitorInfoW,3
DefFrameProcA,3
OutputDebugStringW,3
GetWindowsDirectoryA,3
GetUserNameA,3
GetLocaleInfoW,3
GetUserDefaultLCID,3
IsValidLocale,3
LCMapStringA,3
GetThreadTimes,3
SetSecurityDescriptorControl,3
GetStringTypeA,3
GetClipboardFormatNameW,3
GetConsoleOutputCP,3
GetLongPathNameW,3
BeginPath,3
IsBadHugeReadPtr,3
ReleaseDC,3
FindResourceW,3
SetConsoleTextAttribute,3
GetComputerNameW,3
GetVersionExW,3
lstrlenW,3
PurgeComm,3
WaitForMultipleObjects,3
ScrollConsoleScreenBufferA,3
EnumSystemLocalesW,3
CreateFileA,3
GetStartupInfoA,3
FreeEnvironmentStringsA,3
GetEnvironmentStrings,3
VirtualFree,3
VirtualAlloc,3
WriteConsoleA,3
FatalAppExitA,2
GetCPInfoExA,2
SetPropW,2
SetPropA,2
AreFileApisANSI,2
GetThreadPriority,2
SetConsoleCtrlHandler,2
ShellExecuteA,2
SetUserObjectSecurity,2
InterlockedExchange,2
GetCurrentThread,2
ReadConsoleW,1
CompareStringW,1
GetTimeFormatW,1
GetDateFormatW,1
CreateSemaphoreW,1
CreateEventW,1
GetThreadSelectorEntry,1
GetPropW,1
InitializeCriticalSection,1
HeapDestroy,1
FindNextFileA,1
GetProcessIoCounters,1
SetEndOfFile,1
ReadFile,1
GetDriveTypeW,1
FileTimeToSystemTime,1
WinHttpSetOption,1
ShellAboutA,1
GetSystemTimes,1
FindFirstFileExA,1
WinHttpQueryOption,1
